;region;popRegion;densitePopRegion
1;LA REUNION;835103;3.33620837744442
2;MAYOTTE;212645;5.80648244224783
3;NORMANDIE;3341410;1.22423101090168
4;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;5683878;0.784736411128972
5;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;5552388;0.968508238721993
6;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;5844177;0.690244543967565
7;NORD-PAS-DE-CALAIS-PICARDIE;5987883;1.87858983791042
8;AUVERGNE-RHONE-ALPES;7757595;1.10589047862411
9;CENTRE-VAL DE LOIRE;2570548;0.658116896582976
10;BOURGOGNE-FRANCHE-COMTE;2819783;0.594103427882408
11;PROVENCE-ALPES-COTE D'AZUR;4953675;1.56973682209158
12;BRETAGNE;3258707;1.20591510319661
13;PAYS DE LA LOIRE;3660852;1.22118890097562
14;ILE-DE-FRANCE;11959807;9.92357808845237
15;CORSE;320208;0.36554175770735
16;MARTINIQUE;385551;3.47967076109421
17;GUADELOUPE;402119;2.45845102282871
19;GUYANE;244118;0.0291222860919426
